"person","item","poly","dich","description","anger","male","do","other","scold","shout"
8,5,0,0,"do train scold",21,0,0,1,1,0
8,6,0,0,"do train shout",21,0,0,1,0,1
8,7,0,0,"do store curse",21,0,0,0,0,0
8,8,0,0,"do store scold",21,0,0,0,1,0
8,9,0,0,"do store shout",21,0,0,0,0,1
8,10,0,0,"do operator curse",21,0,0,0,0,0
8,11,0,0,"do operator scold",21,0,0,0,1,0
8,12,0,0,"do operator shout",21,0,0,0,0,1
8,13,2,1,"want bus curse",21,0,1,1,0,0
8,14,0,0,"want bus scold",21,0,1,1,1,0
8,15,0,0,"want bus shout",21,0,1,1,0,1
8,16,2,1,"want train curse",21,0,1,1,0,0
8,17,0,0,"want train scold",21,0,1,1,1,0
8,18,0,0,"want train shout",21,0,1,1,0,1
8,19,2,1,"want store curse",21,0,1,0,0,0
8,20,0,0,"want store scold",21,0,1,0,1,0
8,21,0,0,"want store shout",21,0,1,0,0,1
8,22,2,1,"want operator curse",21,0,1,0,0,0
8,23,0,0,"want operator scold",21,0,1,0,1,0
8,24,0,0,"want operator shout",21,0,1,0,0,1
9,1,0,0,"do bus curse",24,0,0,1,0,0
9,2,0,0,"do bus scold",24,0,0,1,1,0
9,3,0,0,"do bus shout",24,0,0,1,0,1
9,4,1,1,"do train curse",24,0,0,1,0,0
9,5,1,1,"do train scold",24,0,0,1,1,0
9,6,0,0,"do train shout",24,0,0,1,0,1
9,7,1,1,"do store curse",24,0,0,0,0,0
9,8,0,0,"do store scold",24,0,0,0,1,0
9,9,1,1,"do store shout",24,0,0,0,0,1
9,10,1,1,"do operator curse",24,0,0,0,0,0
9,11,0,0,"do operator scold",24,0,0,0,1,0
9,12,0,0,"do operator shout",24,0,0,0,0,1
9,13,2,1,"want bus curse",24,0,1,1,0,0
9,14,0,0,"want bus scold",24,0,1,1,1,0
9,15,0,0,"want bus shout",24,0,1,1,0,1
9,16,2,1,"want train curse",24,0,1,1,0,0
9,17,0,0,"want train scold",24,0,1,1,1,0
9,18,0,0,"want train shout",24,0,1,1,0,1
9,19,1,1,"want store curse",24,0,1,0,0,0
9,20,0,0,"want store scold",24,0,1,0,1,0
9,21,1,1,"want store shout",24,0,1,0,0,1
9,22,0,0,"want operator curse",24,0,1,0,0,0
9,23,1,1,"want operator scold",24,0,1,0,1,0
9,24,0,0,"want operator shout",24,0,1,0,0,1
10,1,2,1,"do bus curse",16,0,0,1,0,0
10,2,2,1,"do bus scold",16,0,0,1,1,0
10,3,2,1,"do bus shout",16,0,0,1,0,1
10,4,2,1,"do train curse",16,0,0,1,0,0
10,5,2,1,"do train scold",16,0,0,1,1,0
10,6,1,1,"do train shout",16,0,0,1,0,1
10,7,1,1,"do store curse",16,0,0,0,0,0
10,8,0,0,"do store scold",16,0,0,0,1,0
10,9,1,1,"do store shout",16,0,0,0,0,1
10,10,1,1,"do operator curse",16,0,0,0,0,0
10,11,1,1,"do operator scold",16,0,0,0,1,0
10,12,1,1,"do operator shout",16,0,0,0,0,1
10,13,1,1,"want bus curse",16,0,1,1,0,0
10,14,2,1,"want bus scold",16,0,1,1,1,0
10,15,1,1,"want bus shout",16,0,1,1,0,1
10,16,2,1,"want train curse",16,0,1,1,0,0
10,17,2,1,"want train scold",16,0,1,1,1,0
10,18,1,1,"want train shout",16,0,1,1,0,1
10,19,0,0,"want store curse",16,0,1,0,0,0
10,20,0,0,"want store scold",16,0,1,0,1,0
10,21,0,0,"want store shout",16,0,1,0,0,1
10,22,1,1,"want operator curse",16,0,1,0,0,0
10,23,1,1,"want operator scold",16,0,1,0,1,0
10,24,1,1,"want operator shout",16,0,1,0,0,1
11,1,1,1,"do bus curse",15,0,0,1,0,0
11,2,2,1,"do bus scold",15,0,0,1,1,0
11,3,2,1,"do bus shout",15,0,0,1,0,1
11,4,1,1,"do train curse",15,0,0,1,0,0
11,5,2,1,"do train scold",15,0,0,1,1,0
11,6,2,1,"do train shout",15,0,0,1,0,1
11,7,1,1,"do store curse",15,0,0,0,0,0
11,8,1,1,"do store scold",15,0,0,0,1,0
11,9,1,1,"do store shout",15,0,0,0,0,1
11,10,0,0,"do operator curse",15,0,0,0,0,0
11,11,0,0,"do operator scold",15,0,0,0,1,0
11,12,0,0,"do operator shout",15,0,0,0,0,1
11,13,1,1,"want bus curse",15,0,1,1,0,0
11,14,1,1,"want bus scold",15,0,1,1,1,0
11,15,1,1,"want bus shout",15,0,1,1,0,1
11,16,1,1,"want train curse",15,0,1,1,0,0
11,17,1,1,"want train scold",15,0,1,1,1,0
11,18,1,1,"want train shout",15,0,1,1,0,1
11,19,0,0,"want store curse",15,0,1,0,0,0
11,20,0,0,"want store scold",15,0,1,0,1,0
11,21,0,0,"want store shout",15,0,1,0,0,1
11,22,0,0,"want operator curse",15,0,1,0,0,0
11,23,0,0,"want operator scold",15,0,1,0,1,0
11,24,0,0,"want operator shout",15,0,1,0,0,1
12,1,2,1,"do bus curse",18,0,0,1,0,0
12,2,2,1,"do bus scold",18,0,0,1,1,0
12,3,2,1,"do bus shout",18,0,0,1,0,1
12,4,2,1,"do train curse",18,0,0,1,0,0
12,5,2,1,"do train scold",18,0,0,1,1,0
12,6,2,1,"do train shout",18,0,0,1,0,1
12,7,2,1,"do store curse",18,0,0,0,0,0
12,8,0,0,"do store scold",18,0,0,0,1,0
12,9,1,1,"do store shout",18,0,0,0,0,1
12,10,0,0,"do operator curse",18,0,0,0,0,0
12,11,2,1,"do operator scold",18,0,0,0,1,0
12,12,1,1,"do operator shout",18,0,0,0,0,1
12,13,2,1,"want bus curse",18,0,1,1,0,0
12,14,2,1,"want bus scold",18,0,1,1,1,0
12,15,0,0,"want bus shout",18,0,1,1,0,1
12,16,2,1,"want train curse",18,0,1,1,0,0
12,17,2,1,"want train scold",18,0,1,1,1,0
12,18,0,0,"want train shout",18,0,1,1,0,1
12,19,0,0,"want store curse",18,0,1,0,0,0
12,20,2,1,"want store scold",18,0,1,0,1,0
12,21,0,0,"want store shout",18,0,1,0,0,1
12,22,2,1,"want operator curse",18,0,1,0,0,0
12,23,2,1,"want operator scold",18,0,1,0,1,0
12,24,0,0,"want operator shout",18,0,1,0,0,1
13,1,2,1,"do bus curse",36,1,0,1,0,0
13,2,0,0,"do bus scold",36,1,0,1,1,0
13,3,1,1,"do bus shout",36,1,0,1,0,1
13,4,2,1,"do train curse",36,1,0,1,0,0
13,5,0,0,"do train scold",36,1,0,1,1,0
13,6,0,0,"do train shout",36,1,0,1,0,1
13,7,1,1,"do store curse",36,1,0,0,0,0
13,8,0,0,"do store scold",36,1,0,0,1,0
13,9,0,0,"do store shout",36,1,0,0,0,1
13,10,1,1,"do operator curse",36,1,0,0,0,0
13,11,0,0,"do operator scold",36,1,0,0,1,0
13,12,0,0,"do operator shout",36,1,0,0,0,1
13,13,1,1,"want bus curse",36,1,1,1,0,0
13,14,2,1,"want bus scold",36,1,1,1,1,0
13,15,0,0,"want bus shout",36,1,1,1,0,1
13,16,1,1,"want train curse",36,1,1,1,0,0
13,17,2,1,"want train scold",36,1,1,1,1,0
13,18,0,0,"want train shout",36,1,1,1,0,1
13,19,0,0,"want store curse",36,1,1,0,0,0
13,20,0,0,"want store scold",36,1,1,0,1,0
13,21,0,0,"want store shout",36,1,1,0,0,1
13,22,1,1,"want operator curse",36,1,1,0,0,0
13,23,0,0,"want operator scold",36,1,1,0,1,0
13,24,0,0,"want operator shout",36,1,1,0,0,1
14,1,2,1,"do bus curse",22,1,0,1,0,0
14,2,2,1,"do bus scold",22,1,0,1,1,0
14,3,2,1,"do bus shout",22,1,0,1,0,1
14,4,2,1,"do train curse",22,1,0,1,0,0
14,5,2,1,"do train scold",22,1,0,1,1,0
14,6,2,1,"do train shout",22,1,0,1,0,1
14,7,1,1,"do store curse",22,1,0,0,0,0
14,8,2,1,"do store scold",22,1,0,0,1,0
14,9,1,1,"do store shout",22,1,0,0,0,1
14,10,1,1,"do operator curse",22,1,0,0,0,0
14,11,0,0,"do operator scold",22,1,0,0,1,0
14,12,0,0,"do operator shout",22,1,0,0,0,1
14,13,2,1,"want bus curse",22,1,1,1,0,0
14,14,2,1,"want bus scold",22,1,1,1,1,0
14,15,1,1,"want bus shout",22,1,1,1,0,1
14,16,2,1,"want train curse",22,1,1,1,0,0
14,17,2,1,"want train scold",22,1,1,1,1,0
14,18,1,1,"want train shout",22,1,1,1,0,1
14,19,1,1,"want store curse",22,1,1,0,0,0
14,20,1,1,"want store scold",22,1,1,0,1,0
14,21,0,0,"want store shout",22,1,1,0,0,1
14,22,0,0,"want operator curse",22,1,1,0,0,0
14,23,2,1,"want operator scold",22,1,1,0,1,0
14,24,0,0,"want operator shout",22,1,1,0,0,1
15,1,1,1,"do bus curse",16,0,0,1,0,0
15,2,0,0,"do bus scold",16,0,0,1,1,0
15,3,0,0,"do bus shout",16,0,0,1,0,1
15,4,1,1,"do train curse",16,0,0,1,0,0
15,5,0,0,"do train scold",16,0,0,1,1,0
15,6,1,1,"do train shout",16,0,0,1,0,1
15,7,0,0,"do store curse",16,0,0,0,0,0
15,8,1,1,"do store scold",16,0,0,0,1,0
15,9,1,1,"do store shout",16,0,0,0,0,1
15,10,1,1,"do operator curse",16,0,0,0,0,0
15,11,0,0,"do operator scold",16,0,0,0,1,0
15,12,0,0,"do operator shout",16,0,0,0,0,1
15,13,1,1,"want bus curse",16,0,1,1,0,0
15,14,1,1,"want bus scold",16,0,1,1,1,0
15,15,0,0,"want bus shout",16,0,1,1,0,1
15,16,1,1,"want train curse",16,0,1,1,0,0
15,17,1,1,"want train scold",16,0,1,1,1,0
15,18,0,0,"want train shout",16,0,1,1,0,1
15,19,1,1,"want store curse",16,0,1,0,0,0
15,20,0,0,"want store scold",16,0,1,0,1,0
15,21,0,0,"want store shout",16,0,1,0,0,1
15,22,1,1,"want operator curse",16,0,1,0,0,0
15,23,1,1,"want operator scold",16,0,1,0,1,0
15,24,0,0,"want operator shout",16,0,1,0,0,1
16,1,1,1,"do bus curse",18,0,0,1,0,0
16,2,0,0,"do bus scold",18,0,0,1,1,0
16,3,1,1,"do bus shout",18,0,0,1,0,1
16,4,1,1,"do train curse",18,0,0,1,0,0
16,5,0,0,"do train scold",18,0,0,1,1,0
16,6,1,1,"do train shout",18,0,0,1,0,1
16,7,1,1,"do store curse",18,0,0,0,0,0
16,8,0,0,"do store scold",18,0,0,0,1,0
16,9,0,0,"do store shout",18,0,0,0,0,1
16,10,1,1,"do operator curse",18,0,0,0,0,0
16,11,0,0,"do operator scold",18,0,0,0,1,0
16,12,0,0,"do operator shout",18,0,0,0,0,1
16,13,1,1,"want bus curse",18,0,1,1,0,0
16,14,1,1,"want bus scold",18,0,1,1,1,0
16,15,2,1,"want bus shout",18,0,1,1,0,1
16,16,0,0,"want train curse",18,0,1,1,0,0
16,17,0,0,"want train scold",18,0,1,1,1,0
16,18,0,0,"want train shout",18,0,1,1,0,1
16,19,1,1,"want store curse",18,0,1,0,0,0
16,20,0,0,"want store scold",18,0,1,0,1,0
16,21,0,0,"want store shout",18,0,1,0,0,1
16,22,1,1,"want operator curse",18,0,1,0,0,0
16,23,1,1,"want operator scold",18,0,1,0,1,0
16,24,0,0,"want operator shout",18,0,1,0,0,1
17,1,1,1,"do bus curse",23,0,0,1,0,0
17,2,0,0,"do bus scold",23,0,0,1,1,0
17,3,0,0,"do bus shout",23,0,0,1,0,1
17,4,1,1,"do train curse",23,0,0,1,0,0
17,5,0,0,"do train scold",23,0,0,1,1,0
17,6,1,1,"do train shout",23,0,0,1,0,1
17,7,0,0,"do store curse",23,0,0,0,0,0
17,8,0,0,"do store scold",23,0,0,0,1,0
17,9,0,0,"do store shout",23,0,0,0,0,1
17,10,1,1,"do operator curse",23,0,0,0,0,0
17,11,0,0,"do operator scold",23,0,0,0,1,0
17,12,0,0,"do operator shout",23,0,0,0,0,1
17,13,1,1,"want bus curse",23,0,1,1,0,0
17,14,1,1,"want bus scold",23,0,1,1,1,0
17,15,1,1,"want bus shout",23,0,1,1,0,1
17,16,1,1,"want train curse",23,0,1,1,0,0
17,17,1,1,"want train scold",23,0,1,1,1,0
17,18,0,0,"want train shout",23,0,1,1,0,1
17,19,1,1,"want store curse",23,0,1,0,0,0
17,20,1,1,"want store scold",23,0,1,0,1,0
17,21,1,1,"want store shout",23,0,1,0,0,1
17,22,1,1,"want operator curse",23,0,1,0,0,0
17,23,2,1,"want operator scold",23,0,1,0,1,0
17,24,1,1,"want operator shout",23,0,1,0,0,1
18,1,1,1,"do bus curse",16,0,0,1,0,0
18,2,0,0,"do bus scold",16,0,0,1,1,0
18,3,2,1,"do bus shout",16,0,0,1,0,1
18,4,1,1,"do train curse",16,0,0,1,0,0
18,5,0,0,"do train scold",16,0,0,1,1,0
18,6,1,1,"do train shout",16,0,0,1,0,1
18,7,1,1,"do store curse",16,0,0,0,0,0
18,8,0,0,"do store scold",16,0,0,0,1,0
18,9,1,1,"do store shout",16,0,0,0,0,1
18,10,0,0,"do operator curse",16,0,0,0,0,0
18,11,0,0,"do operator scold",16,0,0,0,1,0
18,12,0,0,"do operator shout",16,0,0,0,0,1
18,13,1,1,"want bus curse",16,0,1,1,0,0
18,14,0,0,"want bus scold",16,0,1,1,1,0
18,15,1,1,"want bus shout",16,0,1,1,0,1
18,16,1,1,"want train curse",16,0,1,1,0,0
18,17,0,0,"want train scold",16,0,1,1,1,0
18,18,0,0,"want train shout",16,0,1,1,0,1
18,19,0,0,"want store curse",16,0,1,0,0,0
18,20,0,0,"want store scold",16,0,1,0,1,0
18,21,0,0,"want store shout",16,0,1,0,0,1
18,22,0,0,"want operator curse",16,0,1,0,0,0
18,23,0,0,"want operator scold",16,0,1,0,1,0
18,24,0,0,"want operator shout",16,0,1,0,0,1
19,1,0,0,"do bus curse",21,0,0,1,0,0
19,2,0,0,"do bus scold",21,0,0,1,1,0
19,3,0,0,"do bus shout",21,0,0,1,0,1
19,4,0,0,"do train curse",21,0,0,1,0,0
19,5,0,0,"do train scold",21,0,0,1,1,0
19,6,0,0,"do train shout",21,0,0,1,0,1
19,7,0,0,"do store curse",21,0,0,0,0,0
19,8,0,0,"do store scold",21,0,0,0,1,0
19,9,0,0,"do store shout",21,0,0,0,0,1
19,10,0,0,"do operator curse",21,0,0,0,0,0
19,11,0,0,"do operator scold",21,0,0,0,1,0
19,12,0,0,"do operator shout",21,0,0,0,0,1
19,13,0,0,"want bus curse",21,0,1,1,0,0
19,14,0,0,"want bus scold",21,0,1,1,1,0
19,15,0,0,"want bus shout",21,0,1,1,0,1
19,16,0,0,"want train curse",21,0,1,1,0,0
19,17,0,0,"want train scold",21,0,1,1,1,0
19,18,0,0,"want train shout",21,0,1,1,0,1
19,19,0,0,"want store curse",21,0,1,0,0,0
19,20,0,0,"want store scold",21,0,1,0,1,0
19,21,0,0,"want store shout",21,0,1,0,0,1
19,22,0,0,"want operator curse",21,0,1,0,0,0
19,23,0,0,"want operator scold",21,0,1,0,1,0
19,24,0,0,"want operator shout",21,0,1,0,0,1
20,1,1,1,"do bus curse",25,0,0,1,0,0
20,2,1,1,"do bus scold",25,0,0,1,1,0
20,3,1,1,"do bus shout",25,0,0,1,0,1
20,4,2,1,"do train curse",25,0,0,1,0,0
20,5,1,1,"do train scold",25,0,0,1,1,0
20,6,1,1,"do train shout",25,0,0,1,0,1
20,7,1,1,"do store curse",25,0,0,0,0,0
20,8,0,0,"do store scold",25,0,0,0,1,0
20,9,0,0,"do store shout",25,0,0,0,0,1
20,10,1,1,"do operator curse",25,0,0,0,0,0
20,11,0,0,"do operator scold",25,0,0,0,1,0
20,12,0,0,"do operator shout",25,0,0,0,0,1
20,13,1,1,"want bus curse",25,0,1,1,0,0
20,14,0,0,"want bus scold",25,0,1,1,1,0
20,15,1,1,"want bus shout",25,0,1,1,0,1
20,16,1,1,"want train curse",25,0,1,1,0,0
20,17,1,1,"want train scold",25,0,1,1,1,0
20,18,0,0,"want train shout",25,0,1,1,0,1
20,19,0,0,"want store curse",25,0,1,0,0,0
20,20,0,0,"want store scold",25,0,1,0,1,0
20,21,0,0,"want store shout",25,0,1,0,0,1
20,22,0,0,"want operator curse",25,0,1,0,0,0
20,23,0,0,"want operator scold",25,0,1,0,1,0
20,24,0,0,"want operator shout",25,0,1,0,0,1
21,1,1,1,"do bus curse",22,0,0,1,0,0
21,2,1,1,"do bus scold",22,0,0,1,1,0
21,3,1,1,"do bus shout",22,0,0,1,0,1
21,4,1,1,"do train curse",22,0,0,1,0,0
21,5,1,1,"do train scold",22,0,0,1,1,0
21,6,0,0,"do train shout",22,0,0,1,0,1
21,7,0,0,"do store curse",22,0,0,0,0,0
21,8,0,0,"do store scold",22,0,0,0,1,0
21,9,0,0,"do store shout",22,0,0,0,0,1
21,10,1,1,"do operator curse",22,0,0,0,0,0
21,11,0,0,"do operator scold",22,0,0,0,1,0
21,12,0,0,"do operator shout",22,0,0,0,0,1
21,13,1,1,"want bus curse",22,0,1,1,0,0
21,14,0,0,"want bus scold",22,0,1,1,1,0
21,15,0,0,"want bus shout",22,0,1,1,0,1
21,16,1,1,"want train curse",22,0,1,1,0,0
21,17,0,0,"want train scold",22,0,1,1,1,0
21,18,0,0,"want train shout",22,0,1,1,0,1
21,19,0,0,"want store curse",22,0,1,0,0,0
21,20,0,0,"want store scold",22,0,1,0,1,0
21,21,0,0,"want store shout",22,0,1,0,0,1
21,22,0,0,"want operator curse",22,0,1,0,0,0
21,23,0,0,"want operator scold",22,0,1,0,1,0
21,24,0,0,"want operator shout",22,0,1,0,0,1
22,1,2,1,"do bus curse",15,0,0,1,0,0
22,2,2,1,"do bus scold",15,0,0,1,1,0
22,3,2,1,"do bus shout",15,0,0,1,0,1
22,4,1,1,"do train curse",15,0,0,1,0,0
22,5,1,1,"do train scold",15,0,0,1,1,0
22,6,2,1,"do train shout",15,0,0,1,0,1
22,7,2,1,"do store curse",15,0,0,0,0,0
22,8,1,1,"do store scold",15,0,0,0,1,0
22,9,1,1,"do store shout",15,0,0,0,0,1
22,10,1,1,"do operator curse",15,0,0,0,0,0
22,11,1,1,"do operator scold",15,0,0,0,1,0
22,12,2,1,"do operator shout",15,0,0,0,0,1
22,13,2,1,"want bus curse",15,0,1,1,0,0
22,14,2,1,"want bus scold",15,0,1,1,1,0
22,15,2,1,"want bus shout",15,0,1,1,0,1
22,16,1,1,"want train curse",15,0,1,1,0,0
22,17,2,1,"want train scold",15,0,1,1,1,0
22,18,0,0,"want train shout",15,0,1,1,0,1
22,19,1,1,"want store curse",15,0,1,0,0,0
22,20,2,1,"want store scold",15,0,1,0,1,0
22,21,0,0,"want store shout",15,0,1,0,0,1
22,22,1,1,"want operator curse",15,0,1,0,0,0
